model          c      Ts   Urms   Uday  lamR/a   LR/a  LRday  psfc_hPa  ptp_hPa
ExoCAM         1   196.9   6.48   2.16    1.40   1.02   0.59     694.8    14.04
ExoCAM         4   260.0   4.36   2.48    1.50   0.83   0.63    2324.4    46.93
ExoCAM         7   345.1   3.60   2.99    1.61   0.76   0.69     799.9    16.35
ExoCAM         8   243.8   3.83   1.81    1.48   0.78   0.54    6114.3   221.29
ExoCAM         9   244.9   6.69   3.74    1.48   1.03   0.77     695.6    14.04
ExoCAM        10   194.1   2.45   1.38    1.39   0.63   0.47    4794.0   249.60
ExoCAM        11   234.0  13.23   5.68    1.46   1.45   0.95      99.8     2.01
ExoCAM        12   350.9   2.54   2.23    1.62   0.64   0.60    3097.1    72.95
ExoCAM        14   236.8   5.58   2.44    1.47   0.94   0.62    1429.7    28.88
ExoCAM        15   211.2   8.07   3.40    1.42   1.14   0.74     426.9     8.62
ExoCAM        16   356.8   2.76   2.84    1.62   0.66   0.67   10051.7   244.79
ExoPlaSim      1   176.0   6.53   7.63    1.36   1.02   1.10     683.4    51.91
ExoPlaSim      2   368.5   3.14   3.69    1.64   0.71   0.77    7712.7   585.98
ExoPlaSim      3   296.8  12.59  16.91    1.55   1.42   1.64     206.7    59.41
ExoPlaSim      4   253.7   7.31   8.86    1.49   1.08   1.19    2295.2   174.37
ExoPlaSim      5   265.8  12.95  17.34    1.51   1.44   1.66     159.9    12.14
ExoPlaSim      6   343.1   4.83   5.81    1.61   0.88   0.96    1801.2   136.84
ExoPlaSim      7   279.6   9.32  12.38    1.53   1.22   1.41     536.4    40.74
ExoPlaSim      8   217.3   4.51   4.95    1.43   0.85   0.89    6050.9   459.72
ExoPlaSim      9   239.6  10.12  12.61    1.47   1.27   1.42     683.4    51.91
ExoPlaSim     10   172.3   3.03   3.18    1.35   0.70   0.71    4748.6   360.77
ExoPlaSim     11   211.6  15.85  21.04    1.42   1.59   1.83      98.7     7.49
ExoPlaSim     12   345.7   4.43   4.96    1.61   0.84   0.89    2924.5   222.19
ExoPlaSim     13   273.2  12.57  16.66    1.52   1.42   1.63     159.9    27.83
ExoPlaSim     14   224.4   7.79   9.60    1.45   1.12   1.24    1413.7   107.40
ExoPlaSim     15   186.4   9.55  10.95    1.38   1.24   1.32     421.0    31.98
ExoPlaSim     16   346.6   2.75   3.31    1.61   0.66   0.73      98.2     7.46
ROCKE-3D       1   202.8   5.99   3.49    1.41   0.98   0.75     692.9    18.14
ROCKE-3D       2   389.8   1.79   1.48    1.66   0.54   0.49    7770.2   203.43
ROCKE-3D       4   260.1   4.56   3.31    1.50   0.85   0.73    2316.2    60.64
ROCKE-3D       5   265.8  10.87   6.24    1.51   1.32   1.00     158.4     4.15
ROCKE-3D       6   373.9   4.13   4.22    1.64   0.81   0.82    1811.4    47.42
ROCKE-3D       7   267.7   7.20   4.59    1.51   1.07   0.86     544.4    14.25
ROCKE-3D       8   245.9   5.64   5.99    1.48   0.95   0.98    6097.4   406.91
ROCKE-3D       9   241.8   7.24   5.38    1.47   1.08   0.93     692.9    18.14
ROCKE-3D      10   207.4   5.07   5.71    1.42   0.90   0.96    4780.9   400.05
ROCKE-3D      11   228.1  12.79   9.91    1.45   1.43   1.26      99.0     2.59
ROCKE-3D      12   314.1   3.68   3.50    1.57   0.77   0.75    2949.7    77.23
ROCKE-3D      13   272.0  10.47   6.65    1.52   1.29   1.03     158.4     4.15
ROCKE-3D      14   236.3   5.38   2.65    1.46   0.93   0.65    1425.4    37.32
ROCKE-3D      15   210.5   7.27   4.86    1.42   1.08   0.88     425.6    11.14
ROCKE-3D      16   319.3   2.64   2.20    1.58   0.65   0.59    9898.4   259.15
LFRic          1   195.4   4.03   5.55    1.40   0.80   0.94     698.0    17.77
LFRic          4   251.5   2.62   3.61    1.49   0.65   0.76    2336.3    52.12
LFRic          7   400.5   0.98   1.33    1.67   0.40   0.46     772.9    70.51
LFRic          8   231.8   1.97   2.75    1.46   0.56   0.66    6146.9   711.95
LFRic          9   241.4   3.85   5.23    1.47   0.78   0.91     699.0    18.70
